realtime_start,date,EXMAUS
1997-10-01,1971-01-01,3.0755
1997-10-01,1971-02-01,3.0661
1997-10-01,1971-03-01,3.0659
1997-10-01,1971-04-01,3.0671
1997-10-01,1971-05-01,3.0635
1997-10-01,1971-06-01,3.0563
1997-10-01,1971-07-01,3.055
1997-10-01,1971-08-01,3.0547
1997-10-01,1971-09-01,2.9982
1997-10-01,1971-10-01,2.9786
1997-10-01,1971-11-01,2.9738
1997-10-01,1971-12-01,2.9299
1997-10-01,1972-01-01,2.8788
1997-10-01,1972-02-01,2.8506
1997-10-01,1972-03-01,2.8242
1997-10-01,1972-04-01,2.8215
1997-10-01,1972-05-01,2.8213
1997-10-01,1972-06-01,2.8189
1997-10-01,1972-07-01,2.7842
1997-10-01,1972-08-01,2.7758
1997-10-01,1972-09-01,2.7693
1997-10-01,1972-10-01,2.773
1997-10-01,1972-11-01,2.7682
1997-10-01,1972-12-01,2.8146
1997-10-01,1973-01-01,2.8149
1997-10-01,1973-02-01,2.6602
1997-10-01,1973-03-01,2.505
1997-10-01,1973-04-01,2.481
1997-10-01,1973-05-01,2.4793
1997-10-01,1973-06-01,2.4479
1997-10-01,1973-07-01,2.32
1997-10-01,1973-08-01,2.2803
1997-10-01,1973-09-01,2.3062
1997-10-01,1973-10-01,2.2916
1997-10-01,1973-11-01,2.3908
1997-10-01,1973-12-01,2.4153
1997-10-01,1974-01-01,2.4943
1997-10-01,1974-02-01,2.4698
1997-10-01,1974-03-01,2.4304
1997-10-01,1974-04-01,2.3833
1997-10-01,1974-05-01,2.3723
1997-10-01,1974-06-01,2.4047
1997-10-01,1974-07-01,2.4114
1997-10-01,1974-08-01,2.4146
1997-10-01,1974-09-01,2.413
1997-10-01,1974-10-01,2.406
1997-10-01,1974-11-01,2.3219
1997-10-01,1974-12-01,2.357
1997-10-01,1975-01-01,2.3064
1997-10-01,1975-02-01,2.2659
1997-10-01,1975-03-01,2.2431
1997-10-01,1975-04-01,2.2833
1997-10-01,1975-05-01,2.2585
1997-10-01,1975-06-01,2.2803
1997-10-01,1975-07-01,2.4149
1997-10-01,1975-08-01,2.5139
1997-10-01,1975-09-01,2.5501
1997-10-01,1975-10-01,2.5687
1997-10-01,1975-11-01,2.5689
1997-10-01,1975-12-01,2.586
1997-10-01,1976-01-01,2.5842
1997-10-01,1976-02-01,2.5643
1997-10-01,1976-03-01,2.561
1997-10-01,1976-04-01,2.562
1997-10-01,1976-05-01,2.5589
1997-10-01,1976-06-01,2.5544
1997-10-01,1976-07-01,2.5266
1997-10-01,1976-08-01,2.4953
1997-10-01,1976-09-01,2.5155
1997-10-01,1976-10-01,2.5269
1997-10-01,1976-11-01,2.5308
1997-10-01,1976-12-01,2.5285
1997-10-01,1977-01-01,2.5178
1997-10-01,1977-02-01,2.4994
1997-10-01,1977-03-01,2.4905
1997-10-01,1977-04-01,2.4811
1997-10-01,1977-05-01,2.4842
1997-10-01,1977-06-01,2.4832
1997-10-01,1977-07-01,2.4727
1997-10-01,1977-08-01,2.4627
1997-10-01,1977-09-01,2.463
1997-10-01,1977-10-01,2.4339
1997-10-01,1977-11-01,2.3861
1997-10-01,1977-12-01,2.3696
1997-10-01,1978-01-01,2.368
1997-10-01,1978-02-01,2.3599
1997-10-01,1978-03-01,2.3569
1997-10-01,1978-04-01,2.3779
1997-10-01,1978-05-01,2.4014
1997-10-01,1978-06-01,2.383
1997-10-01,1978-07-01,2.3559
1997-10-01,1978-08-01,2.3025
1997-10-01,1978-09-01,2.2935
1997-10-01,1978-10-01,2.193
1997-10-01,1978-11-01,2.2021
1997-10-01,1978-12-01,2.1967
1997-10-01,1979-01-01,2.2085
1997-10-01,1979-02-01,2.1984
1997-10-01,1979-03-01,2.2007
1997-10-01,1979-04-01,2.2211
1997-10-01,1979-05-01,2.2255
1997-10-01,1979-06-01,2.1992
1997-10-01,1979-07-01,2.1542
1997-10-01,1979-08-01,2.1569
1997-10-01,1979-09-01,2.156
1997-10-01,1979-10-01,2.1705
1997-10-01,1979-11-01,2.1901
1997-10-01,1979-12-01,2.1772
1997-10-01,1980-01-01,2.1802
1997-10-01,1980-02-01,2.1789
1997-10-01,1980-03-01,2.2247
1997-10-01,1980-04-01,2.2825
1997-10-01,1980-05-01,2.1889
1997-10-01,1980-06-01,2.1448
1997-10-01,1980-07-01,2.1433
1997-10-01,1980-08-01,2.1513
1997-10-01,1980-09-01,2.122
1997-10-01,1980-10-01,2.1321
1997-10-01,1980-11-01,2.1652
1997-10-01,1980-12-01,2.2025
1997-10-01,1981-01-01,2.2225
1997-10-01,1981-02-01,2.2629
1997-10-01,1981-03-01,2.2817
1997-10-01,1981-04-01,2.3159
1997-10-01,1981-05-01,2.3391
1997-10-01,1981-06-01,2.341
1997-10-01,1981-07-01,2.3519
1997-10-01,1981-08-01,2.3743
1997-10-01,1981-09-01,2.3516
1997-10-01,1981-10-01,2.299
1997-10-01,1981-11-01,2.2563
1997-10-01,1981-12-01,2.2478
1997-10-01,1982-01-01,2.2575
1997-10-01,1982-02-01,2.3106
1997-10-01,1982-03-01,2.3265
1997-10-01,1982-04-01,2.3395
1997-10-01,1982-05-01,2.2907
1997-10-01,1982-06-01,2.3392
1997-10-01,1982-07-01,2.3555
1997-10-01,1982-08-01,2.3528
1997-10-01,1982-09-01,2.361
1997-10-01,1982-10-01,2.3688
1997-10-01,1982-11-01,2.3647
1997-10-01,1982-12-01,2.3529
1997-10-01,1983-01-01,2.2822
1997-10-01,1983-02-01,2.2757
1997-10-01,1983-03-01,2.2898
1997-10-01,1983-04-01,2.3063
1997-10-01,1983-05-01,2.3009
1997-10-01,1983-06-01,2.3245
1997-10-01,1983-07-01,2.3319
1997-10-01,1983-08-01,2.3523
1997-10-01,1983-09-01,2.3506
1997-10-01,1983-10-01,2.3451
1997-10-01,1983-11-01,2.345
1997-10-01,1983-12-01,2.3407
1997-10-01,1984-01-01,2.3411
1997-10-01,1984-02-01,2.3362
1997-10-01,1984-03-01,2.2933
1997-10-01,1984-04-01,2.2904
1997-10-01,1984-05-01,2.3029
1997-10-01,1984-06-01,2.3109
1997-10-01,1984-07-01,2.3385
1997-10-01,1984-08-01,2.3331
1997-10-01,1984-09-01,2.3528
1997-10-01,1984-10-01,2.4076
1997-10-01,1984-11-01,2.4301
2006-03-01,1984-11-01,2.4021
