date,Country,Counterpart,world_export,world_import,Trade Balance,Twoway Trade
2000-01-01,W00,W00,478638.095456,492322.169536,-13684.07408,970960.264992
2000-02-01,W00,W00,503130.262357,508397.099015,-5266.836658,1011527.361372
2000-03-01,W00,W00,554571.560068,556647.072811,-2075.512743,1111218.6328790002
2000-04-01,W00,W00,508309.506332,519817.102271,-11507.595939,1028126.608603
2000-05-01,W00,W00,540215.627339,554759.934314,-14544.306975,1094975.5616529998
2000-06-01,W00,W00,562447.694913,566408.618321,-3960.923408,1128856.313234
2000-07-01,W00,W00,534365.734511,544992.848695,-10627.114184,1079358.583206
2000-08-01,W00,W00,534480.867846,549961.123532,-15480.255686,1084441.991378
2000-09-01,W00,W00,560872.545712,566556.915017,-5684.369305,1127429.4607290002
2000-10-01,W00,W00,583312.605657,595317.135604,-12004.529947,1178629.7412609998
2000-11-01,W00,W00,569261.624441,584487.945078,-15226.320637,1153749.569519
2000-12-01,W00,W00,550265.081332,559672.043332,-9406.962,1109937.124664
2001-01-01,W00,W00,527825.383494,546732.684122,-18907.300628,1074558.0676159998
2001-02-01,W00,W00,519116.072779,521140.903068,-2024.830289,1040256.975847
2001-03-01,W00,W00,577826.162448,581545.826204,-3719.663756,1159371.9886520002
2001-04-01,W00,W00,515265.304257,534220.185001,-18954.880744,1049485.489258
2001-05-01,W00,W00,531735.356381,543148.23651,-11412.880129,1074883.592891
2001-06-01,W00,W00,523435.240833,531489.334051,-8054.093218,1054924.574884
2001-07-01,W00,W00,504924.598446,522138.311143,-17213.712697,1027062.909589
2001-08-01,W00,W00,498100.875146,512025.698652,-13924.823506,1010126.573798
2001-09-01,W00,W00,505888.887984,514041.480028,-8152.592044,1019930.368012
2001-10-01,W00,W00,544612.487198,560472.97435,-15860.487152,1105085.461548
2001-11-01,W00,W00,511079.379986,528582.781086,-17503.4011,1039662.161072
2001-12-01,W00,W00,472864.954718,486357.574052,-13492.619334,959222.52877
2002-01-01,W00,W00,472342.504144,482101.585215,-9759.081071,954444.089359
2002-02-01,W00,W00,465031.04598,474470.67822,-9439.63224,939501.7242
2002-03-01,W00,W00,526260.629332,528664.396368,-2403.767036,1054925.0257
2002-04-01,W00,W00,532415.397169,549197.768045,-16782.370876,1081613.165214
2002-05-01,W00,W00,542794.884643,549020.418055,-6225.533412,1091815.302698
2002-06-01,W00,W00,549809.508489,550650.952637,-841.444148,1100460.4611260002
2002-07-01,W00,W00,575202.79446,583888.970191,-8686.175731,1159091.764651
2002-08-01,W00,W00,531250.18417,541729.75874,-10479.57457,1072979.94291
2002-09-01,W00,W00,575260.06021,579797.726207,-4537.665997,1155057.786417
2002-10-01,W00,W00,611458.32264,616189.592004,-4731.269364,1227647.914644
2002-11-01,W00,W00,591499.522149,596205.97106,-4706.448911,1187705.493209
2002-12-01,W00,W00,564877.808481,582981.453205,-18103.644724,1147859.261686
2003-01-01,W00,W00,576102.98702,590498.076688,-14395.089668,1166601.063708
2003-02-01,W00,W00,567372.560439,570507.258723,-3134.698284,1137879.819162
2003-03-01,W00,W00,640379.702545,644178.662347,-3798.959802,1284558.364892
2003-04-01,W00,W00,615101.280839,625953.928962,-10852.648123,1241055.209801
2003-05-01,W00,W00,627034.584528,632278.968736,-5244.384208,1259313.553264
2003-06-01,W00,W00,631962.095792,638326.180818,-6364.085026,1270288.27661
2003-07-01,W00,W00,645971.220112,651360.683556,-5389.463444,1297331.903668
2003-08-01,W00,W00,575783.023358,586015.19469,-10232.171332,1161798.218048
2003-09-01,W00,W00,666185.963995,673280.958604,-7094.994609,1339466.922599
2003-10-01,W00,W00,715453.902235,722626.63249,-7172.730255,1438080.5347250002
2003-11-01,W00,W00,668055.610624,678451.210139,-10395.599515,1346506.8207629998
2003-12-01,W00,W00,704251.347909,722573.962338,-18322.614429,1426825.3102469998
2004-01-01,W00,W00,657684.498707,671322.303458,-13637.804751,1329006.802165
2004-02-01,W00,W00,685603.441995,697866.273997,-12262.832002,1383469.715992
2004-03-01,W00,W00,787656.975617,802900.84123,-15243.865613,1590557.816847
2004-04-01,W00,W00,737569.845574,763506.049336,-25936.203762,1501075.89491
2004-05-01,W00,W00,733186.678044,745207.729392,-12021.051348,1478394.407436
2004-06-01,W00,W00,785406.284884,804593.82209,-19187.537206,1590000.106974
2004-07-01,W00,W00,772887.265463,786987.659209,-14100.393746,1559874.924672
2004-08-01,W00,W00,729379.45999,751110.679696,-21731.219706,1480490.139686
2004-09-01,W00,W00,809924.625046,821657.052458,-11732.427412,1631581.677504
2004-10-01,W00,W00,831781.456348,843139.072773,-11357.616425,1674920.529121
2004-11-01,W00,W00,854461.602459,875684.865667,-21223.263208,1730146.468126
2004-12-01,W00,W00,847527.120682,867458.90975,-19931.789068,1714986.0304319998
2005-01-01,W00,W00,772177.832694,792642.946405,-20465.113711,1564820.7790990002
2005-02-01,W00,W00,773283.804014,783049.068967,-9765.264953,1556332.872981
2005-03-01,W00,W00,903607.393184,918076.563972,-14469.170788,1821683.957156
2005-04-01,W00,W00,877727.80001,895532.69378,-17804.89377,1773260.49379
2005-05-01,W00,W00,861590.978093,880498.527188,-18907.549095,1742089.505281
2005-06-01,W00,W00,890242.430307,901577.831741,-11335.401434,1791820.262048
2005-07-01,W00,W00,851209.167405,854519.383094,-3310.215689,1705728.550499
2005-08-01,W00,W00,865199.767093,888860.94572,-23661.178627,1754060.712813
2005-09-01,W00,W00,936700.267589,941241.286054,-4541.018465,1877941.553643
2005-10-01,W00,W00,929290.347681,941539.484794,-12249.137113,1870829.832475
2005-11-01,W00,W00,928894.476947,949178.847913,-20284.370966,1878073.32486
2005-12-01,W00,W00,915838.881651,937901.152984,-22062.271333,1853740.034635
2006-01-01,W00,W00,880229.547192,903300.938942,-23071.39175,1783530.486134
2006-02-01,W00,W00,872710.705871,886186.183956,-13475.478085,1758896.889827
2006-03-01,W00,W00,1030507.673149,1033240.969304,-2733.296155,2063748.642453
2006-04-01,W00,W00,947317.801937,955629.936507,-8312.13457,1902947.738444
2006-05-01,W00,W00,1030271.392363,1052504.023184,-22232.630821,2082775.415547
2006-06-01,W00,W00,1050491.382518,1052064.99238,-1573.609862,2102556.374898
2006-07-01,W00,W00,999262.687007,1010941.083469,-11678.396462,2010203.770476
2006-08-01,W00,W00,1016211.366704,1043244.474115,-27033.107411,2059455.840819
2006-09-01,W00,W00,1065708.917728,1071803.376499,-6094.458771,2137512.2942270003
2006-10-01,W00,W00,1068367.830687,1091740.55156,-23372.720873,2160108.382247
2006-11-01,W00,W00,1092754.401787,1112391.062548,-19636.660761,2205145.464335
2006-12-01,W00,W00,1051574.770728,1067195.704708,-15620.93398,2118770.475436
2007-01-01,W00,W00,1020674.834675,1043802.303692,-23127.469017,2064477.138367
2007-02-01,W00,W00,997473.338577,1009275.162617,-11801.82404,2006748.501194
2007-03-01,W00,W00,1150244.13084,1165839.292072,-15595.161232,2316083.422912
2007-04-01,W00,W00,1098786.044782,1120104.164189,-21318.119407,2218890.208971
2007-05-01,W00,W00,1151099.041502,1169491.207373,-18392.165871,2320590.248875
2007-06-01,W00,W00,1168238.188755,1178190.899432,-9952.710677,2346429.088187
2007-07-01,W00,W00,1180902.946509,1214507.78574,-33604.839231,2395410.732249
2007-08-01,W00,W00,1157610.990294,1186867.50341,-29256.513116,2344478.493704
2007-09-01,W00,W00,1194287.52709,1200706.990219,-6419.463129,2394994.517309
2007-10-01,W00,W00,1310652.041348,1340149.994823,-29497.953475,2650802.036171
2007-11-01,W00,W00,1329818.560482,1350633.008219,-20814.447737,2680451.568701
2007-12-01,W00,W00,1236804.696267,1250860.290298,-14055.594031,2487664.986565
2008-01-01,W00,W00,1292952.420828,1320412.952906,-27460.532078,2613365.373734
