date,FOOD,BEVERAGES_AND_TOBACCO,CRUDE_MATERIALS_INEDIBLE,MINERAL_FUELS_LUBRICANTS_ETC,ANIMAL_AND_VEGETABLE_OILS_AND_FATS,CHEMICALS,MANUFACTURED_GOODS,MACHINERY__TRANSPORT_EQUIPMENT,MISCELLANEOUS_MANUFACTURED_ARTICLES,MISCELLANEOUS_TRANSACTIONS_AND_COMMODITIES,total_export
2000-01-01,491864874,92332416,863994681,2843136683,1116946684,880219925,1927880545,14958386186,2026711654,229883181,25431356829
2000-02-01,425641394,77214349,689603279,2881747034,1099756943,1072302224,1910675351,16986581083,1922449106,217203495,27283174258
2000-03-01,553169207,100950924,901427068,3188319069,1254551970,1086130053,2133213423,20139482974,2368704586,262696514,31988645788
2000-04-01,509671983,98515223,897853450,2455441551,1116557420,1087280719,2174508072,17989050119,2333513182,240322014,28902713733
2000-05-01,553327793,111185482,909523666,2651869264,1008684467,1231347129,2291918346,18776956887,2480702004,253977343,30269492381
2000-06-01,574066614,112047681,923797559,2885169740,1100698246,1376535977,2191009429,19830751054,2505145689,263364009,31762585998
2000-07-01,551376941,88254854,968187353,3117527228,1032325817,1418732775,2236784776,20301875068,2722661037,267044431,32704770280
2000-08-01,564107493,101873018,848391883,2946768259,929934519,1290185907,2273679985,21969621903,2809204982,273941568,34007709517
2000-09-01,579122481,99952862,872988719,3206132395,1155303802,1379033062,2197408175,22289507276,2907182376,254519214,34941150362
2000-10-01,541286968,115090581,822098600,3373358792,1123505049,1202689184,2343395279,20403990329,2755527683,290897109,32971839574
2000-11-01,580391685,107633301,742958741,3188718504,1104990367,1211546232,2086908784,20845810919,2636361626,273239664,32778559823
2000-12-01,546274866,109898548,847496074,3164357484,893604012,1041787264,2020608557,18886862363,2456888764,260539023,30228316955
2001-01-01,488496781,111094426,706159911,3395119172,986371445,1238630188,1826731397,16863304221,2204176351,234833200,28054917092
2001-02-01,506056455,108530202,652773126,2921967093,798687254,1246958338,2074812559,17525700825,2339127998,260367135,28434980985
2001-03-01,520627270,103340677,715206815,3165158365,981410652,1293846981,2041734594,18138728691,2350768324,274454532,29585276901
2001-04-01,527119076,117686491,667765940,2651216545,990935271,1157005602,2281772844,16361083294,2276885363,302152900,27333623326
2001-05-01,553798125,106683698,645466339,3013972760,966643455,1247248204,2064893582,16622109563,2450464823,359042359,28030322908
2001-06-01,547169168,105586907,560555688,2340680773,990528785,1272922396,1976480407,16800726242,2479546764,342440676,27416637806
2001-07-01,559665097,102618921,607407782,3124820856,985124293,1177339652,1865155444,15628893407,2539374599,333182065,26923582116
2001-08-01,579510226,122510305,641582679,2498188300,1149543598,1200620806,2237752510,16273742038,2620763100,340893403,27665106965
2001-09-01,557334557,118520948,613232968,2406562536,967573414,1098439139,1847008261,17202239494,2382496968,339433494,27532841779
2001-10-01,562199767,103414126,579875362,2271447600,1088058771,1143777447,2060045241,17732563681,2816113737,351363339,28708859071
2001-11-01,624307845,98944620,561104487,2189603126,1225574904,1180518998,1989265612,17753091119,2375489585,332018071,28329918367
2001-12-01,554984663,108727929,613691784,2309595160,1212016738,1061113665,1848844056,15925634390,2336218970,296919967,26267747322
2002-01-01,618807890,99351321,542584508,2370340381,1255926478,1174097216,1749500867,16875014763,2297224384,334080330,27316928138
2002-02-01,507922027,90545778,489389082,2097593053,919700780,1047993841,1625122252,15036232054,1907790863,290625576,24012915306
2002-03-01,608539699,106193008,662564714,2248275952,1266309280,1345440162,2058935904,19394254843,2509053308,376646710,30576213580
2002-04-01,589273368,93212191,689924226,2330356480,1221435492,1365016364,2142621729,17811306498,2364644217,375223368,28983013933
2002-05-01,575206682,94840769,704787350,1763781467,1465575869,1465946211,2224692101,17756357522,2572360349,371974512,28995522832
2002-06-01,568683676,122106333,628241951,2384722683,1431148786,1446256325,2106888166,17706969038,2360705022,350038461,29105760441
2002-07-01,629609655,111906431,824647460,2499345084,1518217366,1454852709,2266247515,18598458938,2657804732,385844791,30946934681
2002-08-01,610320314,113782749,786198322,3116265849,1505971564,1441803002,2126755063,18565151010,2850065830,393338393,31509652096
2002-09-01,667441109,107844702,768626160,2585058563,1733196494,1393286943,2123237955,18614444427,2812670599,390775915,31196582867
2002-10-01,718628382,113141388,816553057,3141135783,2084453355,1603926113,2204675326,19077890266,2857260674,406203603,33023867947
2002-11-01,733003956,132762357,797890209,2729665574,1710623466,1520816342,2105575160,19172455152,2804782175,367837710,32075412101
2002-12-01,649558467,108938486,706727912,3378716184,1813049168,1410064539,2110634836,16683417880,2458474537,367631044,29687213053
2003-01-01,755813515,132479640,772310159,3421192581,1927694578,1573781187,2281711055,17658525719,2654894774,443658120,31622061328
2003-02-01,557425271,104268339,606442731,3345586160,1353001670,1455273984,1918114401,15352188316,2015173633,299298132,27006772637
2003-03-01,677252281,128510387,869466998,3928455398,1919427727,1708558338,2449084876,18243483777,2764050136,419391613,33107681531
2003-04-01,680298827,118853982,828943956,3087810861,1854639376,1644010237,2337880781,18411026969,2788919332,402882551,32155266872
2003-05-01,638476867,119499562,899495188,2993192650,2104939614,1781809410,2379573366,17890076953,2761586814,383764635,31952415059
2003-06-01,682078088,111059348,772314639,2820433771,1927616827,1770693403,2087241612,19056387264,2793800990,369768903,32391394845
2003-07-01,676117310,112849129,830041767,3234030572,2325321556,1623878174,2180937922,18670471417,2923902723,420435172,32997985742
2003-08-01,704538863,113498028,874816225,3158990237,2155797583,1625421181,2398675610,18937440358,3042690135,449904272,33461772492
2003-09-01,702981181,143621172,827209018,3179406392,2316489983,1670995951,2270396698,19683927195,2802798021,461760750,34059586361
2003-10-01,824924714,140197035,985066825,3304672452,2320847616,1805335457,2516652934,21552138021,3186892259,469424601,37106151914
2003-11-01,700517083,118698580,837293796,3411612723,1826474587,1827592060,2279223102,19035567246,2754935915,464126328,33256041420
