date,FOOD,BEVERAGES_AND_TOBACCO,CRUDE_MATERIALS_INEDIBLE,MINERAL_FUELS_LUBRICANTS_ETC,ANIMAL_AND_VEGETABLE_OILS_AND_FATS,CHEMICALS,MANUFACTURED_GOODS,MACHINERY__TRANSPORT_EQUIPMENT,MISCELLANEOUS_MANUFACTURED_ARTICLES,MISCELLANEOUS_TRANSACTIONS_AND_COMMODITIES,total_import
2000-01-01,846099009,31130468,604749198,653256063,58953819,1509983052,2238572232,13025466677,1080749181,774363344,20823323043
2000-02-01,830343028,38961759,475994393,1702132260,41940353,1550492615,2251267102,13633805889,1073374511,469026470,22067338380
2000-03-01,916847192,48463922,565814036,1022498684,32465587,1987871955,2726698397,15525055673,1336696858,822460927,24984873231
2000-04-01,902658686,69757968,551941142,1202142579,58965870,1873536068,2811702772,15948963137,1379049140,701757670,25500475032
2000-05-01,998721851,61325964,670393909,1111462373,50068924,1985727068,2938775166,16045277941,1379298437,791103732,26032155365
2000-06-01,912421156,55938822,596050539,1202359378,53123566,1845942128,2928442550,17235754523,1487825601,674416345,26992274608
2000-07-01,943803644,116065520,660464396,1382318398,65035244,2030997733,3106012929,18010759216,1666909273,675160928,28657527281
2000-08-01,936668912,51850160,689419651,1268652286,55628674,2046640172,3061800840,18465028049,1825761523,688052532,29089502799
2000-09-01,1010042988,63286710,614303939,1766329251,50223227,1957315591,2717710219,18134245654,1757039854,671968983,28742466416
2000-10-01,1053360696,40493846,546957660,1215075863,30141633,1906212185,2709796188,17495117944,1601335529,682825464,27281317008
2000-11-01,982309825,69981101,562703723,1116661482,51841491,1921409598,2793160448,16886240645,1626745808,754435176,26765489297
2000-12-01,1059836120,61435872,556931360,1330171491,55604245,1755358985,2312413131,15322272053,1444135852,623966698,24522125807
2001-01-01,1000678835,66163041,481005521,1105848998,38255255,1780848183,2419361905,15987520071,1543830955,590779483,25014292247
2001-02-01,977962266,58757571,478914418,908330826,49356985,1680363127,2261175251,13786405797,1330924798,669967341,22202158380
2001-03-01,931108312,55881167,532108841,1281117044,47988665,1906910193,2819222069,15762531319,1398542026,690822255,25426231891
2001-04-01,938563839,62882178,606934587,1186666832,54781446,1744961093,2509043039,13618782482,1343330641,797472713,22863418850
2001-05-01,1089869896,69412710,643144456,857799342,71178947,1846040208,2583329854,14035632164,1291827084,731306084,23219540745
2001-06-01,1029817569,58521241,591113717,2373783197,53769910,1719913918,2550400843,13727797269,1224415648,861479058,24191012370
2001-07-01,954133170,106252027,640876642,1232204475,36469103,1687432163,2497232715,13266443802,1323074145,824046200,22568164442
2001-08-01,1034258649,93143167,561464116,1241451484,85244534,1753417610,2371228501,13076808705,1244485014,739759594,22201261374
2001-09-01,1036878312,72900562,535643543,1312380930,127506107,1628424056,2280122378,13238365597,1222023311,782229962,22236474758
2001-10-01,1124235746,124758431,635193742,1360091084,46920632,1716293388,2458970695,14710839301,1284137203,911803118,24373243340
2001-11-01,1067494850,55180380,604040905,983782856,77247648,1704537474,2358652981,15151854868,1408509779,941468990,24352770731
2001-12-01,1091952831,100110512,580467753,862430567,104574423,1534392906,2188629006,13246014028,1115224029,756727842,21580523897
2002-01-01,1092015086,139452462,558384581,818165126,125283882,1581096385,2361853986,14394907220,1179250674,782537099,23032946501
2002-02-01,851369244,81692791,412020476,1020744244,76338933,1452506501,2079862950,12715109281,1057738977,616849479,20364232876
2002-03-01,1038511131,69655401,597011326,1296169273,46271873,1794393243,2368278988,16186619648,1387132032,797173079,25581215994
2002-04-01,1032066729,56061022,552391951,1141790256,35034414,1863827063,2560563519,17447895084,1465850615,793310446,26948791099
2002-05-01,996594785,77630327,621610347,1267156952,69885879,1928995536,2792770012,15340817310,1459568221,813165156,25368194525
2002-06-01,941611765,70496513,646423838,957983447,94768870,1808956698,2511976437,15693269967,1376285810,739986582,24841759927
2002-07-01,1128266920,104989039,647737981,1568751721,95357876,2034418243,2732266892,16071649383,1524272698,962067996,26869778749
2002-08-01,1004156211,96219191,584020265,1195143470,123163348,1959930303,2736334991,16655531397,1586660812,889731778,26830891766
2002-09-01,1067077977,121007828,621071735,1318896321,117203897,1897174400,2604139919,16299253987,1533207934,837117110,26416151108
2002-10-01,1162427932,91994131,497689395,1299516695,102681405,2042768884,2728042335,16556907581,1522351513,990474681,26994854552
2002-11-01,1203712015,119598529,589897209,1054056007,227316432,1660652195,2467962796,15895680480,1538437789,848732350,25606045802
2002-12-01,921569677,108529430,493445538,1429879565,152428058,1736623606,2375265574,14711597296,1556036195,750227654,24235602593
2003-01-01,1202577527,109118245,681041575,1332171993,182437008,2060878159,2473471664,14487657924,1366554542,645919064,24541827701
2003-02-01,871309670,56874758,385382480,1386488242,132919343,1692625749,2156621419,12854778664,1179026783,568108026,21284135134
2003-03-01,1109637525,112604329,688198477,1482939414,147837282,2161055211,2655050520,15309477775,1401359771,765979966,25834140270
2003-04-01,883932738,132135103,523681431,1690246002,95436616,1950572932,2492310191,15459882468,1356422060,879270264,25463889805
2003-05-01,931179513,97677295,597687656,1597273854,101952491,1783783803,2383085528,15322449234,1317922665,840405930,24973417969
