date,total_export,total_import,EXMAUS,RBMYBIS,world_export
2000-01-01,25431356829,20823323043,3.8,95.15,478638.095456
2000-02-01,27283174258,22067338380,3.8,96.44,503130.262357
2000-03-01,31988645788,24984873231,3.8,96.06,554571.560068
2000-04-01,28902713733,25500475032,3.8,96.09,508309.506332
2000-05-01,30269492381,26032155365,3.8,97.98,540215.627339
2000-06-01,31762585998,26992274608,3.8,96.83,562447.694913
2000-07-01,32704770280,28657527281,3.8,97.65,534365.734511
2000-08-01,34007709517,29089502799,3.8,97.8,534480.867846
2000-09-01,34941150362,28742466416,3.8,98.14,560872.545712
2000-10-01,32971839574,27281317008,3.8,99.61,583312.605657
2000-11-01,32778559823,26765489297,3.8,100.09,569261.624441
2000-12-01,30228316955,24522125807,3.8,100.41,550265.081332
2001-01-01,28054917092,25014292247,3.8,100.69,527825.383494
2001-02-01,28434980985,22202158380,3.8,101.05,519116.072779
2001-03-01,29585276901,25426231891,3.8,102.49,577826.162448
2001-04-01,27333623326,22863418850,3.8,103.69,515265.304257
2001-05-01,28030322908,23219540745,3.8,103.53,531735.356381
2001-06-01,27416637806,24191012370,3.8,104.13,523435.240833
2001-07-01,26923582116,22568164442,3.8,104.67,504924.598446
2001-08-01,27665106965,22201261374,3.8,102.15,498100.875146
2001-09-01,27532841779,22236474758,3.8,101.55,505888.887984
2001-10-01,28708859071,24373243340,3.8001,102.67,544612.487198
2001-11-01,28329918367,24352770731,3.8,104.31,511079.379986
2001-12-01,26267747322,21580523897,3.8,105.14,472864.954718
2002-01-01,27316928138,23032946501,3.8,106.49,472342.504144
2002-02-01,24012915306,20364232876,3.8002,106.75,465031.04598
2002-03-01,30576213580,25581215994,3.8,106.78,526260.629332
2002-04-01,28983013933,26948791099,3.8,105.82,532415.397169
2002-05-01,28995522832,25368194525,3.8,104.08,542794.884643
2002-06-01,29105760441,24841759927,3.8,102.7,549809.508489
2002-07-01,30946934681,26869778749,3.8,101.02,575202.79446
2002-08-01,31509652096,26830891766,3.8,101.46,531250.18417
2002-09-01,31196582867,26416151108,3.8,101.87,575260.06021
2002-10-01,33023867947,26994854552,3.8,102.5,611458.32264
2002-11-01,32075412101,25606045802,3.8,101.59,591499.522149
2002-12-01,29687213053,24235602593,3.8,101.37,564877.808481
2003-01-01,31622061328,24541827701,3.8,99.8,576102.98702
2003-02-01,27006772637,21284135134,3.8,99.71,567372.560439
2003-03-01,33107681531,25834140270,3.8,99.36,640379.702545
2003-04-01,32155266872,25463889805,3.8,99.41,615101.280839
2003-05-01,31952415059,24973417969,3.8,97.49,627034.584528
2003-06-01,32391394845,24911579076,3.8,97.41,631962.095792
2003-07-01,32997985742,27596949473,3.8,98.23,645971.220112
2003-08-01,33461772492,25519297789,3.8,98.32,575783.023358
2003-09-01,34059586361,27317682752,3.8,97.27,666185.963995
2003-10-01,37106151914,30368985271,3.8,95.47,715453.902235
2003-11-01,33256041420,26602971794,3.8,95.5,668055.610624
2003-12-01,38767261027,32122976140,3.8,94.55,704251.347909
2004-01-01,35316065206,28518240804,3.8,93.21,657684.498707
2004-02-01,32432734860,26382054409,3.8,92.78,685603.441995
2004-03-01,40238448602,33323302835,3.8,93.44,787656.975617
2004-04-01,39876514956,33525332913,3.8,93.24,737569.845574
2004-05-01,38630957600,31589334324,3.8,94.63,733186.678044
2004-06-01,39877834310,34645553686,3.8,94.19,785406.284884
2004-07-01,42435331205,34929971772,3.8,93.87,772887.265463
2004-08-01,41529135846,33329564410,3.8,94.15,729379.45999
2004-09-01,44450311537,37635523962,3.8,93.93,809924.625046
2004-10-01,44128365943,36031193994,3.8,93.41,831781.456348
2004-11-01,38741533723,32769530878,3.8,91.71,854461.602459
2004-12-01,43595758641,36952566941,3.8,90.81,847527.120682
2005-01-01,39205808930,31245787987,3.8,91.25,772177.832694
